1.3906,0.040284,1.3906,-0.0038334,1.3906,-0.82283
1.4062,0.11081,1.4062,-0.010324,1.4062,-0.58855
1.4219,0.14353,1.4219,-0.012285,1.4219,-0.1257
1.4375,0.11687,1.4375,-0.0093384,1.4375,0.39177
1.4531,0.045105,1.4531,-0.0027685,1.4531,0.74658
1.4688,-0.039624,1.4688,0.005033,1.4688,0.82763
1.4844,-0.11277,1.4844,0.011545,1.4844,0.59864
1.5,-0.14102,1.5,0.014634,1.5,0.15027
1.5156,-0.10571,1.5156,0.012928,1.5156,-0.35095
1.5312,-0.043347,1.5312,0.0064864,1.5312,-0.71494
1.5469,0.028209,1.5469,-0.0021884,1.5469,-0.82581
1.5625,0.10103,1.5625,-0.0093775,1.5625,-0.65483
1.5781,0.14205,1.5781,-0.012399,1.5781,-0.21182
1.5938,0.12433,1.5938,-0.010384,1.5938,0.30532
1.6094,0.058311,1.6094,-0.0041921,1.6094,0.71176
1.625,-0.024763,1.625,0.0038242,1.625,0.83125
1.6406,-0.10142,1.6406,0.010887,1.6406,0.65955
1.6562,-0.14149,1.6562,0.014644,1.6562,0.23407
1.6719,-0.11597,1.6719,0.013635,1.6719,-0.28093
1.6875,-0.054019,1.6875,0.0077287,1.6875,-0.67357
1.7031,0.01714,1.7031,-0.00089846,1.7031,-0.83578
1.7188,0.091938,1.7188,-0.0085637,1.7188,-0.70436
1.7344,0.13976,1.7344,-0.012322,1.7344,-0.29345
1.75,0.13041,1.75,-0.01102,1.75,0.23787
1.7656,0.071283,1.7656,-0.0052753,1.7656,0.66364
1.7812,-0.010805,1.7812,0.0026466,1.7812,0.8501
1.7969,-0.090997,1.7969,0.0099609,1.7969,0.72056
1.8125,-0.13856,1.8125,0.014279,1.8125,0.30548
1.8281,-0.12353,1.8281,0.014041,1.8281,-0.20138
1.8438,-0.064322,1.8438,0.0088575,1.8438,-0.62542
1.8594,0.0052015,1.8594,0.00050655,1.8594,-0.82013
1.875,0.080603,1.875,-0.007466,1.875,-0.74592
1.8906,0.13566,1.8906,-0.011945,1.8906,-0.375
1.9062,0.1364,1.9062,-0.011513,1.9062,0.14959
1.9219,0.08309,1.9219,-0.0064595,1.9219,0.60858
1.9375,0.00276,1.9375,0.0012395,1.9375,0.83542
1.9531,-0.07941,1.9531,0.0088514,1.9531,0.75136
1.9688,-0.13512,1.9688,0.01387,1.9688,0.38901
1.9844,-0.13032,1.9844,0.014519,1.9844,-0.12333
2,-0.074904,2,0.010102,2,-0.56692
2.0156,-0.0059521,2.0156,0.0019818,2.0156,-0.8067
2.0312,0.069456,2.0312,-0.0064285,2.0312,-0.77622
2.0469,0.12976,2.0469,-0.0117,2.0469,-0.44109
2.0625,0.14015,2.0625,-0.012051,2.0625,0.068287
2.0781,0.093935,2.0781,-0.0075071,2.0781,0.55179
2.0938,0.015795,2.0938,8.4965e-05,2.0938,0.81715
2.1094,-0.067271,2.1094,0.0079106,2.1094,0.7822
2.125,-0.12972,2.125,0.013388,2.125,0.4555
2.1406,-0.13539,2.1406,0.014672,2.1406,-0.043036
2.1562,-0.085093,2.1562,0.010938,2.1562,-0.50868
2.1719,-0.01822,2.1719,0.003239,2.1719,-0.79413
2.1875,0.056752,2.1875,-0.0052307,2.1875,-0.80401
2.2031,0.12275,2.2031,-0.011011,2.2031,-0.51053
2.2188,0.14299,2.2188,-0.01216,2.2188,-0.014339
2.2344,0.10435,2.2344,-0.0084537,2.2344,0.48022
2.25,0.029103,2.25,-0.0013452,2.25,0.79552
2.2656,-0.054656,2.2656,0.0065632,2.2656,0.81069
2.2812,-0.12257,2.2812,0.012649,2.2812,0.52859
2.2969,-0.13841,2.2969,0.014857,2.2969,0.048942
2.3125,-0.094949,2.3125,0.012039,2.3125,-0.4411
2.3281,-0.028628,2.3281,0.0047923,2.3281,-0.7587
2.3438,0.045206,2.3438,-0.0039519,2.3438,-0.8167
2.3594,0.11535,2.3594,-0.010506,2.3594,-0.57938
2.375,0.14478,2.375,-0.012511,2.375,-0.101
2.3906,0.11403,2.3906,-0.0094356,2.3906,0.40833
2.4062,0.042593,2.4062,-0.0025298,2.4062,0.76871
2.4219,-0.040787,2.4219,0.0055641,2.4219,0.83048
2.4375,-0.11368,2.4375,0.012068,2.4375,0.59133
2.4531,-0.1403,2.4531,0.014835,2.4531,0.12837
2.4688,-0.10415,2.4688,0.012667,2.4688,-0.37745
2.4844,-0.0394,2.4844,0.0059311,2.4844,-0.72566
2.5,0.033286,2.5,-0.002726,2.5,-0.82965
2.5156,0.10604,2.5156,-0.0096587,2.5156,-0.6339
2.5312,0.14371,2.5312,-0.01234,2.5312,-0.1916
2.5469,0.12289,2.5469,-0.010063,2.5469,0.33784
2.5625,0.05549,2.5625,-0.0037698,2.5625,0.72214
2.5781,-0.027488,2.5781,0.0041673,2.5781,0.83963
2.5938,-0.10412,2.5938,0.011043,2.5938,0.64778
2.6094,-0.14032,2.6094,0.014623,2.6094,0.20847
2.625,-0.11287,2.625,0.013445,2.625,-0.29523
2.6406,-0.049986,2.6406,0.0074274,2.6406,-0.68896
2.6562,0.021006,2.6562,-0.0012067,2.6562,-0.84681
2.6719,0.095578,2.6719,-0.0087935,2.6719,-0.6886
2.6875,0.14118,2.6875,-0.012401,2.6875,-0.2736
2.7031,0.13,2.7031,-0.010927,2.7031,0.25566
2.7188,0.067883,2.7188,-0.0050298,2.7188,0.68247
2.7344,-0.014916,2.7344,0.0029957,2.7344,0.84626
2.75,-0.094354,2.75,0.010309,2.75,0.69828
2.7656,-0.13895,2.7656,0.014505,2.7656,0.28818
2.7812,-0.12094,2.7812,0.01399,2.7812,-0.22726
2.7969,-0.060724,2.7969,0.0084866,2.7969,-0.63119
2.8125,0.0086176,2.8125,-1.6314e-05,2.8125,-0.81503
2.8281,0.083741,2.8281,-0.0079003,2.8281,-0.73254
2.8438,0.13737,2.8438,-0.012066,2.8438,-0.34662
2.8594,0.13556,2.8594,-0.011283,2.8594,0.17516
2.875,0.079666,2.875,-0.0060245,2.875,0.62765
2.8906,-0.0016163,2.8906,0.0016813,2.8906,0.83542
2.9062,-0.082903,2.9062,0.0091225,2.9062,0.74151
2.9219,-0.13593,2.9219,0.013906,2.9219,0.36488
2.9375,-0.12838,2.9375,0.014324,2.9375,-0.14252
2.9531,-0.071811,2.9531,0.0097449,2.9531,-0.58274
2.9688,-0.0033428,2.9688,0.0016233,2.9688,-0.81127
2.9844,0.072142,2.9844,-0.0066532,2.9844,-0.7707
3,0.13153,3,-0.011735,3,-0.42485
3.0156,0.13923,3.0156,-0.011946,3.0156,0.088409
3.0312,0.090437,3.0312,-0.0073253,3.0312,0.56492
3.0469,0.011768,3.0469,0.00033721,3.0469,0.82004
3.0625,-0.071234,3.0625,0.0082039,3.0625,0.78125
3.0781,-0.13158,3.0781,0.013641,3.0781,0.43768
3.0938,-0.13444,3.0938,0.014753,3.0938,-0.064753
